date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:38:47	114/114	---M-Z	200	added ('OK')	text/plain	date:Fri,%2030%20Aug%202024%2017:38:47%20GMT	https://vivendodecripto.com/robots.txt		(from )
14:38:47	67929/67929	---MCZ	200	added ('OK')	text/html	date:Fri,%2030%20Aug%202024%2017:38:47%20GMT	https://vivendodecripto.com/vslnova02/	C:/Meus%20Sites/Vivendodecripto/vivendodecripto.com/vslnova02/index.html	(from )
14:38:47	146740/146740	---M-Z	200	added ('OK')	text/css	etag:%2223d34-668b89f5-71ae525009bc8e3e;gz%22	https://vivendodecripto.com/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.22.3	C:/Meus%20Sites/Vivendodecripto/vivendodecripto.com/wp-content/plugins/elementor/assets/css/frontend-lite.mindcff.css	(from https://vivendodecripto.com/vslnova02/)
14:38:47	16471/16471	---M-Z	200	added ('OK')	text/css	etag:%224057-668b89f6-245414d3524f650;gz%22	https://vivendodecripto.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/Meus%20Sites/Vivendodecripto/vivendodecripto.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://vivendodecripto.com/vslnova02/)
14:38:48	1168/1168	---M-Z	200	added ('OK')	text/css	etag:%22490-669840d2-387fd3254ddea853;gz%22	https://vivendodecripto.com/wp-content/uploads/elementor/css/post-6.css?ver=1721254098	C:/Meus%20Sites/Vivendodecripto/vivendodecripto.com/wp-content/uploads/elementor/css/post-6b898.css	(from https://vivendodecripto.com/vslnova02/)
14:38:48	11053/11053	---M-Z	200	added ('OK')	text/css	etag:%222b2d-664d67b8-7ee5a03ba2707344;gz%22	https://vivendodecripto.com/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min.css?ver=3.19.2	C:/Meus%20Sites/Vivendodecripto/vivendodecripto.com/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min34a7.css	(from https://vivendodecripto.com/vslnova02/)
14:38:48	40207/40207	---M-Z	200	added ('OK')	text/css	etag:%229d0f-669840d2-5079e19f9fa92058;gz%22	https://vivendodecripto.com/wp-content/uploads/elementor/css/global.css?ver=1721254098	C:/Meus%20Sites/Vivendodecripto/vivendodecripto.com/wp-content/uploads/elementor/css/globalb898.css	(from https://vivendodecripto.com/vslnova02/)
14:38:48	17300/17300	---M-Z	200	added ('OK')	text/css	etag:%224394-66d0f6e7-a4b7b427eb12d27e;gz%22	https://vivendodecripto.com/wp-content/uploads/elementor/css/post-794.css?ver=1724970727	C:/Meus%20Sites/Vivendodecripto/vivendodecripto.com/wp-content/uploads/elementor/css/post-794ec7e.css	(from https://vivendodecripto.com/vslnova02/)
14:38:49	87553/87553	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215601-664d6230-693b04fe90f1d4fd;gz%22	https://vivendodecripto.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/Meus%20Sites/Vivendodecripto/vivendodecripto.com/wp-includes/js/jquery/jquery.minf43b.js	(from https://vivendodecripto.com/vslnova02/)
14:38:49	13577/13577	---M-Z	200	added ('OK')	application/x-javascript	etag:%223509-664d6230-53fa3bad5affcac0;gz%22	https://vivendodecripto.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/Meus%20Sites/Vivendodecripto/vivendodecripto.com/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://vivendodecripto.com/vslnova02/)
14:38:49	1317/1317	---M-Z	200	added ('OK')	application/x-javascript	etag:%22525-66984ad9-cef349c06d492c9e;gz%22	https://vivendodecripto.com/wp-content/plugins/pixelyoursite/dist/scripts/jquery.bind-first-0.2.3.min.js?ver=6.6.1	C:/Meus%20Sites/Vivendodecripto/vivendodecripto.com/wp-content/plugins/pixelyoursite/dist/scripts/jquery.bind-first-0.2.3.minb6a4.js	(from https://vivendodecripto.com/vslnova02/)
